Mat File/Subject,Accuracy on Training Set (no CSP),Accuracy on Testing Set (no CSP),Accuracy on Training Set (with CSP),Accuracy on Testing Set (with CSP)
5F-SubjectB-160309-5St-SGLHand-HFREQ.mat,96.97478992,46.66666667,100,87.45098039
5F-SubjectB-160311-5St-SGLHand-HFREQ.mat,98.01652893,56.15384615,98.34710744,81.53846154
5F-SubjectC-160429-5St-SGLHand-HFREQ.mat,97.64705882,62.74509804,100,81.17647059
5F-SubjectE-160321-5St-SGLHand-HFREQ.mat,96.69421488,46.15384615,96.52892562,67.69230769
5F-SubjectF-160210-5St-SGLHand-HFREQ.mat,99.00826446,58.07692308,91.57024793,52.69230769
5F-SubjectG-160413-5St-SGLHand-HFREQ.mat,89.678511,59.4488189,99.83079526,87.00787402
5F-SubjectG-160428-5St-SGLHand-HFREQ.mat,86.61157025,59.61538462,100,88.46153846
5F-SubjectH-160804-5St-SGLHand-HFREQ.mat,87.84246575,49.40239044,83.04794521,64.94023904
5F-SubjectI-160719-5St-SGLHand-HFREQ.mat,95.68106312,55.42635659,93.8538206,72.09302326
5F-SubjectI-160723-5St-SGLHand-HFREQ.mat,86.61157025,49.23076923,85.78512397,66.53846154
,,,,
All Subjects (Mean),93.47660374,54.29200999,94.8963966,74.95916642
