Mat File/Subject,Accuracy on Training Set (no CSP),Accuracy on Testing Set (no CSP),Accuracy on Training Set (with CSP),Accuracy on Testing Set (with CSP)
5F-SubjectB-160309-5St-SGLHand-HFREQ.mat,97.14285714,50.19607843,98.48739496,85.49019608
5F-SubjectB-160311-5St-SGLHand-HFREQ.mat,94.7107438,53.07692308,91.90082645,79.61538462
5F-SubjectC-160429-5St-SGLHand-HFREQ.mat,96.63865546,55.29411765,97.14285714,85.09803922
5F-SubjectE-160321-5St-SGLHand-HFREQ.mat,94.7107438,46.15384615,87.27272727,66.53846154
5F-SubjectF-160210-5St-SGLHand-HFREQ.mat,97.68595041,40.76923077,92.56198347,61.15384615
5F-SubjectG-160413-5St-SGLHand-HFREQ.mat,86.12521151,61.02362205,96.27749577,90.5511811
5F-SubjectG-160428-5St-SGLHand-HFREQ.mat,88.09917355,51.53846154,98.34710744,89.61538462
5F-SubjectH-160804-5St-SGLHand-HFREQ.mat,85.95890411,52.19123506,74.14383562,58.96414343
5F-SubjectI-160719-5St-SGLHand-HFREQ.mat,91.86046512,51.5503876,87.20930233,68.60465116
,,,,
All Subjects (Mean),91.40897297,52.06400562,90.4996423,75.94774418
