Mat File/Subject,Accuracy on Training Set (no CSP),Accuracy on Testing Set (no CSP),Accuracy on Training Set (with CSP),Accuracy on Testing Set (with CSP)
CLASubjectA1601083StLRHand.mat,100,62.63736264,100,86.81318681
CLASubjectB1510193StLRHand.mat,74.94305239,50.26455026,97.72209567,85.18518519
CLASubjectB1510203StLRHand.mat,94.76082005,50.26455026,100,84.12698413
CLASubjectB1512153StLRHand.mat,99.77220957,55.55555556,98.40546697,78.30687831
CLASubjectC1511263StLRHand.mat,100,63.49206349,99.08883827,88.35978836
CLASubjectC1512163StLRHand.mat,98.86104784,61.9047619,99.54441913,89.41798942
CLASubjectC1512233StLRHand.mat,100,65.07936508,99.08883827,85.71428571
CLASubjectD1511253StLRHand.mat,97.26027397,48.93617021,99.7716895,83.5106383
CLASubjectE1512253StLRHand.mat,99.3166287,64.55026455,99.3166287,86.24338624
CLASubjectE1601193StLRHand.mat,99.77220957,60.31746032,100,92.06349206
CLASubjectE1601223StLRHand.mat,99.543379,70.74468085,100,95.21276596
CLASubjectF1509163StLRHand.mat,96.4017991,54.70383275,99.55022489,93.03135889
CLASubjectF1509173StLRHand.mat,93.92523364,50.54347826,99.53271028,88.58695652
CLASubjectF1509283StLRHand.mat,98.41986456,54.45026178,98.19413093,88.48167539
,,,,
All Subjects (Mean),96.64117988,58.10316842,99.30107447,87.50389795
