Mat File/Subject,Accuracy on Training Set (no CSP),Accuracy on Testing Set (no CSP),Accuracy on Training Set (with CSP),Accuracy on Testing Set (with CSP)
HaLTSubjectA1602236StLRHandLegTongue.mat,100,55.65217391,98.87850467,73.91304348
HaLTSubjectA1603086StLRHandLegTongue.mat,100,57.97101449,100,77.29468599
HaLTSubjectA1603106StLRHandLegTongue.mat,99.81308411,62.17391304,91.58878505,78.69565217
HaLTSubjectB1602186StLRHandLegTongue.mat,100,53.94736842,97.7443609,75.43859649
HaLTSubjectB1602256StLRHandLegTongue.mat,98.55967078,55.02392344,98.55967078,65.07177033
HaLTSubjectB1602296StLRHandLegTongue.mat,99.81308411,52.17391304,87.6635514,62.17391304
HaLTSubjectC1602246StLRHandLegTongue.mat,100,63.91304348,98.5046729,76.52173913
HaLTSubjectC1603026StLRHandLegTongue.mat,91.96261682,57.82608696,88.03738318,68.26086957
HaLTSubjectE1602196StLRHandLegTongue.mat,99.81308411,52.60869565,97.00934579,74.34782609
HaLTSubjectE1602266StLRHandLegTongue.mat,99.23224568,52.23214286,96.92898273,69.64285714
HaLTSubjectE1603046StLRHandLegTongue.mat,98.68421053,54.38596491,93.42105263,68.85964912
HaLTSubjectF1602026StLRHandLegTongue.mat,100,64.7826087,99.25233645,74.34782609
HaLTSubjectF1602036StLRHandLegTongue.mat,100,60.43478261,99.06542056,77.82608696
HaLTSubjectF1602046StLRHandLegTongue.mat,100,52.60869565,97.57009346,73.91304348
HaLTSubjectG1603016StLRHandLegTongue.mat,96.63551402,63.04347826,100,94.7826087
HaLTSubjectG1603226StLRHandLegTongue.mat,96.2406015,57.45614035,100,89.03508772
HaLTSubjectG1604126StLRHandLegTongue.mat,100,65.2173913,98.69158879,86.08695652
HaLTSubjectH1607206StLRHandLegTongue.mat,91.28787879,40.52863436,78.78787879,48.89867841
HaLTSubjectH1607226StLRHandLegTongue.mat,87.65432099,51.67464115,89.71193416,67.46411483
HaLTSubjectI1606096StLRHandLegTongue.mat,100,50.69767442,95.6,73.02325581
HaLTSubjectI1606286StLRHandLegTongue.mat,80.07518797,50.43859649,81.57894737,58.77192982
HaLTSubjectJ1611216StLRHandLegTongue.mat,100,72.60869565,100,91.73913043
HaLTSubjectK1610276StLRHandLegTongue.mat,100,59.56521739,98.5046729,84.7826087
HaLTSubjectK1611086StLRHandLegTongue.mat,98.4962406,56.14035088,94.73684211,65.35087719
HaLTSubjectL1611166StLRHandLegTongue.mat,100,62.60869565,100,87.39130435
HaLTSubjectL1612056StLRHandLegTongue.mat,100,64.9122807,99.06015038,87.28070175
HaLTSubjectM1611086StLRHandLegTongue.mat,98.69158879,66.08695652,100,90
HaLTSubjectM1611176StLRHandLegTongue.mat,100,62.17391304,100,81.30434783
HaLTSubjectM1611246StLRHandLegTongue.mat,99.62406015,53.07017544,96.61654135,64.03508772
,,,,
All Subjects (Mean),97.81322031,57.65369548,95.77630056,75.38807755
