Mat File/Subject,Accuracy on Training Set (no CSP),Accuracy on Testing Set (no CSP),Accuracy on Training Set (with CSP),Accuracy on Testing Set (with CSP)
HaLTSubjectA1602236StLRHandLegTongue.mat,97.75700935,57.82608696,93.27102804,69.56521739
HaLTSubjectA1603086StLRHandLegTongue.mat,98.13664596,56.52173913,94.82401656,72.46376812
HaLTSubjectA1603106StLRHandLegTongue.mat,96.82242991,63.91304348,94.39252336,75.2173913
HaLTSubjectB1602186StLRHandLegTongue.mat,98.12030075,50,95.4887218,79.38596491
HaLTSubjectB1602256StLRHandLegTongue.mat,98.14814815,48.80382775,95.67901235,67.46411483
HaLTSubjectB1602296StLRHandLegTongue.mat,99.62616822,48.69565217,83.36448598,56.52173913
HaLTSubjectC1602246StLRHandLegTongue.mat,99.25233645,66.95652174,95.70093458,78.69565217
HaLTSubjectC1603026StLRHandLegTongue.mat,90.28037383,55.65217391,82.42990654,69.13043478
HaLTSubjectE1602196StLRHandLegTongue.mat,99.25233645,50.43478261,92.71028037,74.7826087
HaLTSubjectE1602266StLRHandLegTongue.mat,99.42418426,52.67857143,90.21113244,69.19642857
HaLTSubjectE1603046StLRHandLegTongue.mat,97.93233083,54.38596491,87.40601504,67.98245614
HaLTSubjectF1602026StLRHandLegTongue.mat,97.94392523,59.13043478,92.71028037,74.7826087
HaLTSubjectF1602036StLRHandLegTongue.mat,99.81308411,57.82608696,98.69158879,76.52173913
HaLTSubjectF1602046StLRHandLegTongue.mat,97.75700935,44.34782609,96.63551402,66.52173913
HaLTSubjectG1603016StLRHandLegTongue.mat,97.94392523,67.39130435,98.87850467,93.04347826
HaLTSubjectG1603226StLRHandLegTongue.mat,97.93233083,56.57894737,98.4962406,86.40350877
HaLTSubjectG1604126StLRHandLegTongue.mat,99.25233645,66.08695652,96.63551402,87.82608696
HaLTSubjectH1607206StLRHandLegTongue.mat,93.18181818,46.69603524,73.67424242,55.50660793
HaLTSubjectH1607226StLRHandLegTongue.mat,88.06584362,50.23923445,73.04526749,67.94258373
HaLTSubjectI1606096StLRHandLegTongue.mat,98,55.81395349,89.8,70.69767442
HaLTSubjectI1606286StLRHandLegTongue.mat,79.5112782,48.24561404,72.18045113,57.45614035
HaLTSubjectJ1611216StLRHandLegTongue.mat,99.81308411,80.86956522,99.62616822,96.08695652
HaLTSubjectK1610276StLRHandLegTongue.mat,96.82242991,62.60869565,97.19626168,78.69565217
HaLTSubjectK1611086StLRHandLegTongue.mat,99.2481203,53.07017544,91.35338346,70.1754386
HaLTSubjectL1611166StLRHandLegTongue.mat,99.06542056,59.13043478,99.06542056,84.34782609
HaLTSubjectL1612056StLRHandLegTongue.mat,99.81203008,67.10526316,99.43609023,88.59649123
HaLTSubjectM1611086StLRHandLegTongue.mat,98.87850467,63.47826087,100,94.34782609
HaLTSubjectM1611176StLRHandLegTongue.mat,100,57.82608696,97.57009346,79.56521739
HaLTSubjectM1611246StLRHandLegTongue.mat,99.62406015,56.14035088,92.66917293,67.10526316
,,,,
All Subjects (Mean),97.15232638,57.18805484,92.177319,75.03546947
